"hit","align.length","mismatch","indel","unalign.length","total.miss"
"44_79",65,0,0,0,0
"52_6",65,0,0,0,0
"77_6",65,1,0,0,1
"40_80",65,0,0,0,0
"44_40",65,0,0,0,0
"6_77",65,0,0,0,0
"51_78",65,0,0,0,0
"57_39",65,0,0,0,0
"79_33",65,0,0,0,0
"4_58",65,0,0,0,0
"36_79",65,0,0,0,0
"5_85",65,0,0,0,0
"80_3",65,0,0,0,0
"44_79",65,0,0,0,0
"17_83",66,0,1,0,1
"43_56",65,2,0,0,2
"31_52",65,0,0,0,0
"79_79",65,2,0,0,2
"54_40",65,1,0,0,1
"43_80",65,1,0,0,1
"43_38",65,0,0,0,0
"43_39",65,0,0,0,0
"63_58",65,0,0,0,0
"40_33",65,2,0,0,2
"91_41",65,0,0,0,0
"41_24",65,0,0,0,0
"41_77",65,2,0,0,2
"33_2",65,0,0,0,0
"53_85",65,0,0,0,0
"1_14",65,1,0,0,1
"39_67",65,1,0,0,1
"43_37",65,1,0,0,1
"53_54",65,0,0,0,0
"77_4",65,0,0,0,0
"18_37",65,1,0,0,1
"34_37",65,0,0,0,0
"46_79",65,0,0,0,0
"43_43",65,2,0,0,2
"24_35",65,0,0,0,0
"6_40",65,1,0,0,1
"40_35",65,2,0,0,2
"40_74",65,0,0,0,0
"16_68",65,2,0,0,2
"37_49",65,0,0,0,0
"77_34",65,0,0,0,0
"42_5",65,0,0,0,0
"63_3",65,0,0,0,0
"50_40",65,1,0,0,1
"62_68",65,2,0,0,2
"32_63",65,0,0,0,0
"50_78",65,0,0,0,0
"59_77",65,1,0,0,1
"49_64",65,2,0,0,2
"17_14",65,2,0,0,2
"34_37",65,0,0,0,0
"56_20",65,0,0,0,0
"36_24",65,2,0,0,2
"7_62",65,0,0,0,0
"4_47",65,0,0,0,0
"60_2",65,0,0,0,0
"16_5",65,0,0,0,0
"61_1",65,0,0,0,0
"77_64",65,2,0,0,2
"17_4",65,0,0,0,0
"84_79",65,0,0,0,0
"38_52",65,2,0,0,2
"49_63",65,0,0,0,0
"24_24",65,0,0,0,0
"78_41",65,1,0,0,1
"42_26",65,0,0,0,0
"78_17",65,0,0,0,0
"65_57",65,0,0,0,0
"50_41",65,2,0,0,2
"34_85",65,0,0,0,0
"43_14",65,2,0,0,2
"16_24",65,0,0,0,0
"24_60",65,1,0,0,1
"22_46",65,0,0,0,0
"23_66",65,0,0,0,0
"20_85",65,0,0,0,0
"16_52",65,0,0,0,0
"91_42",65,0,0,0,0
"40_16",65,0,0,0,0
"43_40",65,2,0,0,2
"42_20",65,0,0,0,0
"53_62",65,0,0,0,0
"42_50",65,0,0,0,0
"24_33",65,0,0,0,0
"34_44",65,0,0,0,0
"80_79",65,0,0,0,0
"43_63",65,0,0,0,0
"55_32",65,0,0,0,0
"61_44",65,0,0,0,0
"41_79",65,0,0,0,0
"45_43",65,2,0,0,2
"21_18",65,0,0,0,0
"6_54",65,0,0,0,0
"37_42",65,0,0,0,0
"43_79",65,0,0,0,0
"16_73",65,0,0,0,0
"26_40",65,2,0,0,2
"90_39",65,1,0,0,1
"49_57",65,1,0,0,1
"22_18",65,0,0,0,0
"91_91",65,0,0,0,0
"20_52",65,0,0,0,0
"46_17",65,0,0,0,0
"48_89",65,1,0,0,1
"31_38",65,0,0,0,0
"56_44",65,0,0,0,0
"16_55",65,0,0,0,0
"24_91",65,2,0,0,2
"39_39",65,0,0,0,0
"79_41",65,0,0,0,0
"24_78",65,0,0,0,0
"43_38",65,0,0,0,0
"59_44",65,0,0,0,0
"89_34",65,0,0,0,0
"33_16",65,0,0,0,0
"51_36",65,0,0,0,0
"46_23",65,0,0,0,0
"89_16",65,0,0,0,0
"16_66",65,0,0,0,0
"46_1",65,1,0,0,1
"37_3",65,0,0,0,0
"79_42",65,0,0,0,0
"64_6",65,0,1,0,1
"41_40",65,0,0,0,0
"44_48",65,0,0,0,0
"35_25",65,0,1,0,1
"40_37",65,0,0,0,0
"39_55",65,0,0,0,0
"67_37",65,0,0,0,0
"24_20",65,0,0,0,0
"40_66",65,0,0,0,0
"1_36",65,0,0,0,0
"83_90",65,1,0,0,1
"43_38",65,1,0,0,1
"51_36",65,0,0,0,0
"34_17",65,0,0,0,0
"40_58",65,0,0,0,0
"56_39",65,0,0,0,0
"32_52",65,0,0,0,0
"44_40",65,0,0,0,0
"33_78",65,0,0,0,0
"16_6",65,0,0,0,0
"53_62",65,0,0,0,0
"69_39",65,0,1,0,1
"41_60",65,2,0,0,2
"16_68",65,0,0,0,0
"42_3",65,0,0,0,0
"32_43",65,1,0,0,1
"5_21",65,0,0,0,0
"82_15",65,1,0,0,1
"42_51",65,0,0,0,0
"48_44",65,0,0,0,0
"79_16",65,1,0,0,1
"34_6",65,1,0,0,1
"48_39",65,0,0,0,0
"6_40",65,1,0,0,1
"72_62",65,0,0,0,0
"52_6",65,0,0,0,0
"40_62",65,1,0,0,1
"51_33",65,0,0,0,0
"2_48",65,2,0,0,2
"41_45",65,0,0,0,0
"51_79",65,1,0,0,1
"49_40",65,0,0,0,0
"44_39",65,1,0,0,1
"38_33",65,0,0,0,0
"45_44",65,0,0,0,0
"43_32",65,0,0,0,0
"33_26",65,1,0,0,1
"40_32",65,0,0,0,0
"41_66",65,0,0,0,0
"16_37",65,0,0,0,0
"81_23",65,1,0,0,1
"50_43",65,2,0,0,2
"67_48",65,1,1,0,2
"61_90",65,2,0,0,2
"77_2",65,2,0,0,2
"80_43",65,0,0,0,0
"36_78",65,0,0,0,0
"2_65",65,1,0,0,1
"41_44",65,1,0,0,1
"40_49",65,1,0,0,1
"54_67",65,0,0,0,0
"24_18",65,0,0,0,0
"50_49",65,0,0,0,0
"37_67",65,0,0,0,0
"83_44",65,0,0,0,0
"35_20",65,1,0,0,1
"22_56",65,1,0,0,1
"90_36",65,1,0,0,1
"64_46",65,0,0,0,0
"59_79",65,1,0,0,1
