"hit","align.length","mismatch","indel","unalign.length","total.miss"
"90_28",65,0,0,0,0
"54_46",65,1,0,0,1
"14_15",65,0,0,0,0
"44_32",65,0,1,0,1
"10_85",65,0,0,0,0
"18_70",65,0,0,0,0
"36_52",65,0,0,0,0
"4_11",65,0,0,0,0
"24_49",65,0,0,0,0
"17_80",65,0,1,0,1
"22_7",65,1,0,0,1
"68_3",65,0,0,0,0
"18_42",65,0,0,0,0
"70_12",66,0,1,0,1
"17_12",65,0,0,0,0
"53_6",65,0,0,0,0
"72_65",65,0,0,0,0
"10_46",65,0,0,0,0
"72_78",65,0,0,0,0
"48_16",65,2,0,0,2
"40_16",65,0,0,0,0
"24_57",65,0,0,0,0
"51_31",65,0,0,0,0
"50_73",65,0,0,0,0
"71_25",65,0,0,0,0
"41_78",65,0,0,0,0
"47_29",65,0,0,0,0
"78_43",65,0,0,0,0
"55_1",65,1,0,0,1
"18_58",65,1,0,0,1
"5_3",65,2,0,0,2
"24_7",65,0,0,0,0
"56_71",65,0,0,0,0
"74_84",65,0,0,0,0
"89_88",65,0,0,0,0
"90_42",65,2,0,0,2
"83_56",65,0,0,0,0
"68_58",65,0,0,0,0
"76_23",65,2,0,0,2
"18_70",65,0,0,0,0
"60_51",65,0,0,0,0
"79_10",65,2,0,0,2
"52_63",65,0,0,0,0
"65_69",65,0,0,0,0
"8_50",65,0,0,0,0
"60_36",65,0,0,0,0
"84_9",65,0,0,0,0
"82_42",65,0,0,0,0
"88_68",65,0,0,0,0
"18_37",65,0,0,0,0
"41_76",65,0,0,0,0
"9_52",65,1,0,0,1
"33_90",65,1,0,0,1
"51_34",65,0,0,0,0
"33_9",65,0,0,0,0
"33_8",65,0,0,0,0
"41_80",65,0,0,0,0
"39_18",65,0,0,0,0
"69_15",65,2,0,0,2
"19_54",65,0,0,0,0
"87_40",65,0,0,0,0
"67_82",65,0,0,0,0
"72_67",65,0,0,0,0
"5_47",65,0,0,0,0
"2_88",65,0,0,0,0
"71_31",65,0,0,0,0
"70_42",65,0,0,0,0
"39_70",65,0,0,0,0
"64_47",65,2,0,0,2
"23_1",65,0,0,0,0
"56_87",65,0,1,0,1
"80_86",65,0,0,0,0
"40_17",65,0,0,0,0
"18_47",65,1,0,0,1
"31_83",65,1,1,0,2
"74_37",65,0,0,0,0
"56_58",65,1,0,0,1
"74_22",65,0,0,0,0
"66_64",65,2,0,0,2
"20_17",65,0,0,0,0
"5_47",65,0,0,0,0
"10_28",65,0,0,0,0
"60_85",65,1,0,0,1
"6_47",65,0,0,0,0
"72_77",65,0,0,0,0
"77_17",65,0,0,0,0
"1_12",65,0,0,0,0
"70_65",65,0,0,0,0
"37_8",65,0,0,0,0
"63_79",65,0,0,0,0
"7_28",65,1,0,0,1
"7_55",65,0,0,0,0
"5_65",65,0,0,0,0
"47_76",65,0,0,0,0
"33_52",65,0,0,0,0
"17_44",65,0,0,0,0
"44_3",65,0,0,0,0
"19_87",65,0,0,0,0
"35_81",65,1,0,0,1
"15_47",64,0,0,1,1
"20_50",65,1,0,0,1
"68_12",65,0,0,0,0
"45_52",65,0,0,0,0
"20_43",65,2,0,0,2
"11_28",65,0,0,0,0
"57_85",65,0,0,0,0
"49_89",65,1,0,0,1
"33_31",65,0,0,0,0
"31_78",65,0,0,0,0
"24_23",65,0,0,0,0
"20_60",65,1,0,0,1
"9_68",65,0,0,0,0
"7_42",65,0,0,0,0
"64_35",65,0,0,0,0
"48_64",65,0,0,0,0
"79_28",65,0,0,0,0
"65_45",65,0,0,0,0
"32_36",65,0,0,0,0
"60_83",65,0,0,0,0
"30_6",65,1,0,0,1
"12_60",65,0,0,0,0
"23_77",65,0,0,0,0
"41_2",65,0,0,0,0
"70_74",65,0,0,0,0
"57_52",65,2,0,0,2
